,Ch. 401 (mA),Ch. 402 (mA),Ch. 403 (mA),Ch. 404 (mA),Ch. 405 (mA),Ch. 406 (mA),Ch. 407 (mA),Ch. 408 (mA),Ch. 409 (mA),Ch. 410 (mA),Ch. 421 (deg C),Ch. 422 (deg C)
2026/05/29 20:35,87.54662790447759,109.96325558208954,112.53218849552239,110.23773541993958,110.99127385671642,108.8304538502994,46.33117650455927,97.49216816918427,110.38563966467065,110.02733315757575,45.80805047,21.43621826
2026/05/29 22:35,87.35085496119403,110.18516874029851,111.73379268059699,110.33098277945619,111.29890568955223,108.85690037125747,46.38167428571428,97.25948233232627,110.24297779640717,109.90430456363636,45.73846816,21.36876528
2026/05/30 02:35,86.58863644179104,110.60416579701493,109.91691389850743,110.88620066465256,111.58479649552238,109.70725156287425,46.79468826139817,96.9613355287009,108.933102257485,110.39610115757577,45.70993454,21.29628127
2026/05/30 04:35,86.81221267462685,110.37323509253731,110.39553710447763,110.82836568580062,111.52682102686568,109.38645858083832,46.70672765957446,96.99239261027189,109.59437100598804,110.3398025090909,45.7314893,21.34487495
2026/05/30 08:35,88.52786679402985,109.16752897910447,113.58221044179105,109.62217656797583,110.28532979701494,108.03649707784429,46.21403578115501,98.20541909365558,109.3323905688623,109.23978172121211,45.65883396,21.30823733
2026/05/30 10:35,88.81026277014925,109.17919745671642,114.27624893134326,109.47153347432024,110.27093235223879,107.94992047904191,46.01065615805471,98.20726445317221,109.25929637724549,108.8964465393939,45.72176944,21.36913628
2026/05/30 12:35,88.3613215044776,109.11704049552239,113.30078598208955,109.46638335347433,110.31443937313432,108.05647739520955,46.01530567173252,97.87251668277945,109.36808486227544,108.91759768484847,45.85593384,21.38185516
2026/05/30 14:35,87.9886723044776,108.62148522985073,112.22558295522389,109.13904656193351,109.90361208358209,107.74435444311378,45.91903408510637,97.88103717824774,109.02884693413174,108.54798019999998,45.73718974,21.34653057
2026/05/30 16:35,88.16989127761192,108.4432447164179,112.3300568716418,108.98383044108762,109.67472835820892,107.65212070059879,45.98639105775076,98.15557687613293,109.0423565808383,108.34967401818179,45.70983411,21.35648205
2026/05/30 18:35,87.8755039402985,109.38500945671642,113.24844193432834,109.9657669003021,110.62382031641789,108.43171607185627,46.21303141641337,97.84909367371601,109.74030150898203,109.28426276969697,45.80876503,21.32579383
2026/05/30 20:35,86.9531664358209,110.3333615164179,111.38855413134327,110.72539439879154,111.5899410686567,109.50197493413172,46.408464498480235,96.90627208459212,110.28392689820359,110.47623819393938,45.72194006,21.31964744
2026/05/30 22:35,86.43442957014923,110.23927780298506,109.44129726567165,110.28758156495469,111.22624859701492,108.8127284311377,46.47015694224923,96.79237991540786,108.68786531137724,109.90281489696969,45.72105334,21.3049589
2026/05/31 02:35,88.72500859701493,106.49105567164177,111.38555928955223,107.00081986102718,107.90157114626865,105.62823064670658,46.290837337386016,99.39359573413897,107.03977349700598,106.55258706060604,45.70067981,21.43006259
2026/05/31 04:35,88.07933731940297,106.54065141492536,110.46369855522386,106.77295008459213,108.24595148059701,104.64120711377245,46.22844951367781,99.05942218731117,106.03329848502995,106.30535582424243,45.7408668,21.44848118
2026/05/31 08:35,86.89234759402983,108.76274806567162,109.69977570149254,109.14244470090632,109.79828374328356,107.64116944311377,46.17818306990881,97.5715570513595,108.97611504191615,108.69236458181815,45.70979294,21.46584133
2026/05/31 10:35,87.43889662686566,108.73612826268656,110.79411564179104,109.38994441087611,109.88366033432835,107.71844174850297,46.12620269300911,97.70310545619336,109.08481842514969,108.88401038181816,45.85830478,21.32292554
2026/05/31 12:35,87.58129767164178,108.66052445373134,110.857492519403,108.92286568580059,109.71590689552241,107.46643101796406,46.020728881458965,97.72510624773413,108.74151473652694,108.31972738787879,45.81470539,21.20798067
2026/05/31 14:35,87.5327729970149,108.1572411044776,110.37825190447761,108.63528935347433,109.57340199402984,107.14442249700596,46.011387185410335,97.8229836797583,108.43774668862275,108.12002135151513,45.76913952,21.29726578
2026/05/31 16:35,88.02825103880596,107.9545698686567,111.6265292119403,108.32921669486406,109.16119237611939,107.11991631736525,45.7964243343465,98.13761064652566,108.42205232934131,107.93450616969695,45.71646342,21.27893958
